timestamp,latitude,longitude,altitude,vx,vy,vz
1759417644.406,44.436859,8.882405,70.0,0.1,5.0,0.0
1759417644.506,44.436859,8.882411,70.0,0.1,5.0,0.0
1759417644.606,44.436859,8.882417,70.0,0.1,5.0,0.0
1759417644.706,44.436859,8.882424,70.0,0.1,5.0,0.0
1759417644.806,44.436859,8.88243,70.0,0.1,5.0,0.0
1759417644.906,44.436859,8.882436,70.0,0.1,5.0,0.0
1759417645.006,44.436859,8.882442,70.0,0.1,5.0,0.0
1759417645.106,44.43686,8.882448,70.0,0.1,5.0,0.0
1759417645.206,44.43686,8.882454,70.0,0.1,5.0,0.0
1759417645.306,44.43686,8.882461,70.0,0.1,5.0,0.0
1759417645.406,44.43686,8.882467,70.0,0.1,5.0,0.0
1759417645.506,44.43686,8.882473,70.0,0.1,5.0,0.0
1759417645.606,44.43686,8.882479,70.0,0.1,5.0,0.0
1759417645.706,44.43686,8.882485,70.0,0.1,5.0,0.0
1759417645.806,44.43686,8.882491,70.0,0.1,5.0,0.0
1759417645.906,44.43686,8.882498,70.0,0.1,5.0,0.0
1759417646.006,44.43686,8.882504,70.0,0.1,5.0,0.0
1759417646.106,44.43686,8.882511,70.0,0.1,5.0,0.0
1759417646.206,44.43686,8.882517,70.0,0.1,5.0,0.0
1759417646.306,44.43686,8.882523,70.0,0.1,5.0,0.0
1759417646.406,44.43686,8.88253,70.0,0.1,5.0,0.0
1759417646.506,44.43686,8.882536,70.0,0.1,5.0,0.0
1759417646.606,44.436861,8.882543,70.0,0.1,5.0,0.0
1759417646.706,44.436861,8.882549,70.0,0.1,5.0,0.0
1759417646.806,44.436861,8.882555,70.0,0.1,5.0,0.0
1759417646.906,44.436861,8.882562,70.0,0.1,5.0,0.0
1759417647.006,44.436861,8.882568,70.0,0.1,5.0,0.0
1759417647.106,44.436861,8.882574,70.0,0.1,5.0,0.0
1759417647.206,44.436861,8.882581,70.0,0.1,5.0,0.0
1759417647.306,44.436861,8.882587,70.0,0.1,5.0,0.0
1759417647.406,44.436861,8.882593,70.0,0.1,5.0,0.0
1759417647.506,44.436861,8.882599,70.0,0.1,5.0,0.0
1759417647.606,44.436861,8.882606,70.0,0.1,5.0,0.0
1759417647.706,44.436861,8.882612,70.0,0.1,5.0,0.0
1759417647.806,44.436861,8.882618,70.0,0.1,5.0,0.0
1759417647.906,44.436861,8.882624,70.0,0.1,5.0,0.0
1759417648.006,44.436861,8.882631,70.0,0.1,5.0,0.0
1759417648.106,44.436862,8.882637,70.0,0.1,5.0,0.0
1759417648.206,44.436862,8.882643,70.0,0.1,5.0,0.0
1759417648.306,44.436862,8.882649,70.0,0.1,5.0,0.0
1759417648.406,44.436862,8.882656,70.0,0.1,5.0,0.0
1759417648.506,44.436862,8.882662,70.0,0.1,5.0,0.0
1759417648.606,44.436862,8.882668,70.0,0.1,5.0,0.0
1759417648.706,44.436862,8.882674,70.0,0.1,5.0,0.0
1759417648.806,44.436862,8.882681,70.0,0.1,5.0,0.0
1759417648.906,44.436862,8.882687,70.0,0.1,5.0,0.0
1759417649.006,44.436862,8.882693,70.0,0.1,5.0,0.0
1759417649.106,44.436862,8.8827,70.0,0.1,5.0,0.0
1759417649.206,44.436862,8.882706,70.0,0.1,5.0,0.0
1759417649.306,44.436862,8.882712,70.0,0.1,5.0,0.0
1759417649.406,44.436862,8.882719,70.0,0.1,5.0,0.0
1759417649.506,44.436862,8.882725,70.0,0.1,5.0,0.0
1759417649.606,44.436862,8.882731,70.0,0.1,5.0,0.0
1759417649.706,44.436863,8.882738,70.0,0.1,5.0,0.0
1759417649.806,44.436863,8.882744,70.0,0.1,5.0,0.0
1759417649.906,44.436863,8.88275,70.0,0.1,5.0,0.0
1759417650.006,44.436863,8.882757,70.0,0.1,5.0,0.0
1759417650.106,44.436863,8.882763,70.0,0.1,5.0,0.0
1759417650.206,44.436863,8.882769,70.0,0.1,5.0,0.0
1759417650.306,44.436863,8.882775,70.0,0.1,5.0,0.0
1759417650.406,44.436863,8.882782,70.0,0.1,5.0,0.0
1759417650.506,44.436863,8.882788,70.0,0.1,5.0,0.0
1759417650.606,44.436863,8.882794,70.0,0.1,5.0,0.0
1759417650.706,44.436863,8.882801,70.0,0.1,5.0,0.0
1759417650.806,44.436863,8.882807,70.0,0.1,5.0,0.0
1759417650.906,44.436863,8.882813,70.0,0.1,5.0,0.0
1759417651.006,44.436863,8.882819,70.0,0.1,5.0,0.0
1759417651.106,44.436864,8.882826,70.0,0.1,5.0,0.0
1759417651.206,44.436864,8.882832,70.0,0.1,5.0,0.0
1759417651.306,44.436864,8.882838,70.0,0.1,5.0,0.0
1759417651.406,44.436864,8.882845,70.0,0.1,5.0,0.0
1759417651.506,44.436864,8.882851,70.0,0.1,5.0,0.0
1759417651.606,44.436864,8.882857,70.0,0.1,5.0,0.0
1759417651.706,44.436864,8.882863,70.0,0.1,5.0,0.0
1759417651.806,44.436864,8.88287,70.0,0.1,5.0,0.0
1759417651.906,44.436864,8.882876,70.0,0.1,5.0,0.0
1759417652.006,44.436864,8.882883,70.0,0.1,5.0,0.0
1759417652.106,44.436864,8.882889,70.0,0.1,5.0,0.0
1759417652.206,44.436864,8.882895,70.0,0.1,5.0,0.0
1759417652.306,44.436864,8.882902,70.0,0.1,5.0,0.0
1759417652.406,44.436864,8.882908,70.0,0.1,5.0,0.0
1759417652.506,44.436864,8.882915,70.0,0.1,5.0,0.0
1759417652.606,44.436864,8.882921,70.0,0.1,5.0,0.0
